Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;96792.146;1283.16;10094.352;79658.019;278.480;2502.93;761.99;
1;94980.195;1167.59;10094.352;77926.625;389.714;2377.01;701.07;
2;94377.294;1139.10;10094.352;77371.638;454.769;2364.66;673.31;
3;94387.621;1117.86;10094.352;77433.811;490.854;1570.00;654.43;
4;95518.493;1171.00;10094.352;78564.359;489.248;1730.01;694.13;
5;98240.152;1325.48;10094.352;81255.345;425.425;1882.10;773.88;
6;102018.086;1543.21;25458.661;69700.726;400.149;2611.41;881.86;
7;106164.958;1727.14;25458.661;73646.789;275.685;2491.49;1025.94;
8;109812.474;1822.15;21459.107;81605.882;522.771;2487.77;1125.75;
9;111975.561;1863.13;21459.107;83685.529;408.425;2621.03;1133.62;
10;112372.185;1877.82;21459.107;84023.626;373.227;2815.86;1158.84;
11;112194.825;1889.42;21459.107;83829.970;367.425;2898.23;710.04;
12;111739.862;1873.29;21459.107;83324.800;335.763;2851.37;931.95;
13;111926.879;1871.82;21459.107;83544.765;347.833;2841.56;501.28;
14;111809.370;1884.48;21459.107;83387.436;347.413;2745.64;762.66;
15;112053.649;1870.79;21459.107;83615.945;326.487;2494.16;113.61;
16;112787.439;1866.24;21459.107;84242.366;226.160;2576.99;0.00;
17;112981.001;1866.45;21459.107;84466.676;159.712;2377.07;325.31;
18;112023.481;1883.03;39991.376;65275.072;432.488;2573.78;1166.81;
19;110331.749;1857.45;39991.376;63650.506;508.612;2456.46;1190.49;
20;108159.873;1803.39;39991.376;61501.329;587.994;2462.46;0.00;
21;105885.536;1712.97;39991.376;59528.104;684.886;2761.82;0.00;
22;102376.520;1554.77;10094.352;85236.591;42.957;2650.34;0.00;
23;99799.990;1397.01;10094.352;82677.749;127.339;2429.22;0.00;
