Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;95604.756;1177.69;10094.352;78593.105;280.456;2055.01;769.24;
1;93845.636;1136.56;10094.352;76923.024;395.764;1959.57;720.13;
2;93123.473;1096.26;10094.352;76254.915;458.723;1570.00;682.27;
3;93132.744;1093.93;10094.352;76283.716;485.306;1730.00;673.87;
4;94576.505;1125.70;10094.352;77727.220;483.262;1730.01;692.81;
5;97729.351;1253.96;10094.352;80771.836;412.962;2388.49;0.00;
6;101743.531;1498.75;25458.661;69409.083;381.980;2550.52;931.09;
7;106685.051;1733.42;25458.661;74165.552;273.179;2685.67;720.79;
8;110513.358;1872.70;21459.107;82311.533;519.171;2768.61;0.00;
9;112825.166;1928.25;21459.107;84598.785;440.970;2782.12;1159.81;
10;113550.727;1921.96;21459.107;85303.208;401.246;2798.38;633.65;
11;113261.872;1932.04;21459.107;85030.361;397.509;2975.56;1201.87;
12;113042.009;1930.61;21459.107;84800.331;386.364;2944.21;1190.55;
13;113435.852;1940.47;21459.107;85211.553;390.511;2797.16;1205.41;
14;113350.156;1932.92;21459.107;85095.072;389.443;2727.45;1184.43;
15;113910.574;1909.28;21459.107;85586.200;350.575;2772.44;629.44;
16;114551.368;1893.39;21459.107;86108.576;249.792;2712.34;627.47;
17;114420.791;1887.92;21459.107;85937.159;172.186;2889.34;626.92;
18;113196.546;1880.47;39991.376;66503.872;445.359;2926.01;624.99;
19;111505.157;1849.49;39991.376;64879.498;500.021;2801.61;1049.89;
20;109389.145;1771.11;39991.376;62815.955;577.507;2750.84;1078.87;
21;106751.754;1671.33;39991.376;60378.691;667.830;2685.62;721.97;
22;102996.281;1443.84;10094.352;85815.933;52.683;2620.09;913.01;
23;100131.417;1254.48;10094.352;82955.457;145.502;2418.03;811.24;
