◊‡Ò,"Œ·˙ÂÏ ÔÓÎÌÓ„Ó ÔÎ‡ÌÓ‚Ó„Ó ÔÓÚÂ·ÎÂÌËˇ, Ã¬Ú.˜","»Ì‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌ˚ı ˆÂÌ Ì‡ ÔÓÍÛÔÍÛ ˝ÎÂÍÚÓ˝ÌÂ„ËË, Û·./Ã¬Ú.˜.","Œ·˙ÂÏ ÔÓÍÛÔÍË ÔÓ Â„ÛÎËÛÂÏ˚Ï ‰Ó„Ó‚Ó‡Ï, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓÍÛÔÍË Ì‡ –—¬, Ã¬Ú.˜","Œ·˙ÂÏ ÔÓ‰‡ÊË ‚ Ó·ÂÒÔÂ˜ÂÌËÂ –ƒ, Ã¬Ú.˜","Ã‡ÍÒËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜","ÃËÌËÏ‡Î¸Ì˚È ËÌ‰ÂÍÒ ‡‚ÌÓ‚ÂÒÌÓÈ ˆÂÌ˚, Û·./Ã¬Ú.˜",Unnamed: 8
0,94888.35,1121.63,9513.27,78305.416,7.612,2238.15,776.27,
1,93174.681,1065.66,9513.27,76567.471,13.386,1770.03,757.64,
2,92613.503,1054.63,9513.27,76050.012,65.879,1753.59,758.49,
3,91650.857,1014.28,9513.27,75110.04,89.471,1712.33,713.97,
4,91073.037,998.99,9513.27,74545.287,101.146,1705.46,690.51,
5,91189.622,996.33,9513.27,74652.299,89.093,1619.31,691.61,
6,91795.284,1007.26,24438.562,60288.614,66.106,1652.01,701.0,
7,92138.442,1014.08,24438.562,60598.678,55.545,1698.2,701.15,
8,91827.119,912.95,20490.544,64437.843,233.096,1564.06,600.54,
9,93078.091,960.68,20490.544,65570.649,135.044,1727.8,630.33,
10,94409.114,1030.62,20490.544,66880.81,105.804,1760.83,689.86,
11,95364.593,1065.99,20490.544,67816.342,86.259,1776.6,723.32,
12,95989.606,1112.84,20490.544,68441.43,74.704,2122.15,747.87,
13,96499.192,1083.49,20490.544,68949.209,65.069,1772.95,755.7,
14,97089.2,1091.13,20490.544,69560.386,67.862,1779.76,758.87,
15,98071.698,1100.32,20490.544,70551.845,59.191,1735.44,765.37,
16,99846.569,1103.72,20490.544,72333.61,35.365,1743.36,766.96,
17,101370.414,1151.85,20490.544,73861.292,11.298,2183.54,782.28,
18,101293.856,1154.41,38533.626,55845.047,122.294,2200.8,783.95,
19,100738.304,1148.08,38533.626,55304.253,138.712,2099.73,781.58,
20,99840.425,1148.0,38533.626,54434.751,175.119,2082.43,783.41,
21,98514.25,1140.91,38533.626,53180.747,252.562,2065.03,0.0,
22,96188.623,1080.4,9513.27,79632.315,4.486,1714.41,762.89,
23,93752.169,1035.48,9513.27,77179.869,3.8,1765.78,724.37,
0,92413.173,986.71,9513.27,75874.96,19.395,1612.12,679.67,
1,90938.243,934.51,9513.27,74418.543,57.375,1411.06,647.21,
2,90086.82,905.57,9513.27,73588.398,107.627,1227.41,620.93,
3,89814.188,881.35,9513.27,73331.99,131.342,1168.27,593.29,
4,90027.846,918.58,9513.27,73543.813,141.679,1244.73,628.98,
5,90897.134,941.18,9513.27,74380.603,115.524,1250.62,644.51,
6,91595.867,962.67,24438.562,60103.745,66.856,1340.33,663.85,
7,93279.334,1039.71,24438.562,61784.05,46.986,1443.56,716.77,
8,95572.841,1169.1,20490.544,68221.752,209.797,1712.65,818.04,
9,97487.283,1369.86,20490.544,70045.773,75.016,2077.82,933.3,
10,99331.293,1441.4,20490.544,71869.515,39.892,2156.24,1001.39,
11,100102.068,1454.82,20490.544,72631.074,32.083,2166.4,1024.67,
12,100225.012,1456.98,20490.544,72744.254,38.837,2158.41,1024.38,
13,100194.835,1459.51,20490.544,72730.066,40.45,2153.52,1016.66,
14,100595.3,1479.47,20490.544,73151.364,45.817,2152.24,1033.85,
15,101590.281,1479.2,20490.544,74160.184,39.556,2157.73,1028.52,
16,103504.494,1494.65,20490.544,76085.511,24.632,2128.33,1052.04,
17,104548.201,1513.45,20490.544,77142.29,7.748,2211.96,1053.78,
18,104324.443,1510.99,38533.626,58982.116,106.109,2216.97,1045.51,
19,103625.864,1502.84,38533.626,58293.412,124.744,2197.29,1038.09,
20,102410.134,1500.83,38533.626,57102.124,151.387,2208.04,1021.32,
21,100799.254,1455.02,38533.626,55521.892,195.167,2152.1,996.92,
22,97911.117,1303.88,9513.27,81427.228,4.014,2125.31,909.43,
23,95003.592,1137.93,9513.27,78465.124,3.926,2082.95,790.55,
0,93626.576,1038.09,9513.27,77015.828,19.321,1485.88,294.3,
1,91973.666,973.97,9513.27,75398.182,63.044,1578.89,0.0,
2,91256.05,943.54,9513.27,74710.181,107.923,1322.33,650.31,
3,91211.273,939.0,9513.27,74676.836,127.385,1299.92,644.52,
4,91573.058,967.47,9513.27,75040.748,129.222,1355.43,669.29,
5,92738.114,994.63,9513.27,76173.836,95.242,1371.71,680.74,
6,94224.952,1033.12,24438.562,62706.301,64.921,1460.7,705.19,
7,96380.408,1121.63,24438.562,64852.466,44.024,1616.3,761.62,
8,98635.898,1320.02,20490.544,71229.545,175.129,1996.53,906.13,
9,100941.904,1438.72,20490.544,73456.561,53.434,2168.38,975.2,
10,102640.033,1480.68,20490.544,75146.525,31.004,2212.5,1025.69,
11,103163.438,1486.99,20490.544,75663.295,33.102,2216.64,1030.24,
12,103423.472,1494.79,20490.544,75912.518,40.37,2217.22,1032.34,
13,103455.53,1497.13,20490.544,75937.844,41.533,2216.81,1038.09,
14,103655.583,1499.78,20490.544,76169.749,39.798,2218.65,1043.09,
15,104492.894,1497.57,20490.544,77025.357,35.611,2183.06,1029.72,
16,106440.903,1519.53,20490.544,79008.829,28.452,2227.73,1044.42,
17,107233.606,1528.15,20490.544,79822.831,13.574,2240.77,1048.16,
18,106865.437,1526.57,38533.626,61485.416,83.377,2268.06,1049.11,
19,105554.236,1512.07,38533.626,60190.482,108.191,2218.01,1038.99,
20,104156.923,1501.71,38533.626,58821.8,138.366,2200.07,1019.77,
21,102477.8,1438.08,38533.626,57155.443,171.812,2193.15,992.48,
22,99600.564,1259.5,9513.27,83103.955,5.216,2226.93,877.18,
23,96302.23,1106.38,9513.27,79767.716,3.453,2118.14,753.56,
0,94743.347,1033.01,9513.27,78174.092,7.952,1646.32,729.46,
1,93267.419,957.21,9513.27,76738.708,61.906,1355.3,671.02,
2,92171.709,897.61,9513.27,75690.571,107.88,1209.2,606.78,
3,92004.82,872.9,9513.27,75544.939,128.887,1149.44,579.24,
4,92419.303,892.85,9513.27,75957.649,128.189,1177.61,595.32,
5,93579.993,931.07,9513.27,77079.98,94.207,1231.95,632.52,
6,94922.899,968.58,24438.562,63449.576,55.156,1331.65,673.19,
7,97399.149,1092.71,24438.562,65926.798,37.287,1611.06,763.36,
8,100061.834,1274.32,20490.544,72699.728,166.729,1795.38,895.23,
9,102323.98,1425.34,20490.544,74885.44,45.25,2155.66,989.35,
10,104148.778,1465.55,20490.544,76710.291,27.151,2225.07,1019.08,
11,104847.75,1489.83,20490.544,77402.04,29.836,2226.32,1021.57,
12,104792.145,1489.81,20490.544,77339.408,40.01,2219.18,1022.48,
13,104940.198,1494.63,20490.544,77502.797,45.741,2218.02,1028.81,
14,105147.227,1495.27,20490.544,77730.604,41.325,2188.04,1035.97,
15,105908.528,1487.62,20490.544,78496.58,34.787,2151.6,1033.89,
16,107538.752,1503.17,20490.544,80157.733,21.337,2140.63,1043.53,
17,108484.562,1515.81,20490.544,81122.752,8.097,2200.98,1037.42,
18,108026.267,1517.42,38533.626,62698.446,78.461,2238.47,1033.62,
19,107006.324,1505.92,38533.626,61714.409,114.28,2207.74,1025.28,
20,105483.418,1487.7,38533.626,60213.974,146.799,2142.75,1006.18,
