Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;91407.997;1211.00;10323.026;74134.416;122.365;1850.41;820.34;
1;89855.646;1168.26;10323.026;72676.824;230.671;1748.83;784.00;
2;89396.196;1194.73;10323.026;72293.694;321.611;1749.86;798.07;
3;88590.563;1148.69;10323.026;71530.953;366.963;1670.75;757.08;
4;87989.096;1131.01;10323.026;70954.217;396.110;1659.75;740.10;
5;88014.083;1133.71;10323.026;70959.231;377.542;1660.27;736.98;
6;88526.336;1134.88;26280.117;55508.345;363.929;1669.58;736.48;
7;88648.304;1124.21;26280.117;55605.637;346.000;1632.55;722.99;
8;88360.466;1107.71;22069.026;59863.455;661.436;1663.03;689.90;
9;89443.536;1135.77;22069.026;60834.531;567.330;1682.76;715.01;
10;90656.910;1226.66;22069.026;61913.587;489.551;1836.96;790.27;
11;91651.273;1243.18;22069.026;62800.364;436.729;1868.56;803.55;
12;92211.705;1317.39;22069.026;63319.464;405.514;1965.34;858.31;
13;92642.548;1351.11;22069.026;63765.777;392.991;2020.32;884.33;
14;93277.576;1342.07;22069.026;64452.771;403.016;2004.13;873.12;
15;94140.633;1425.84;22069.026;65386.936;392.990;2114.38;926.83;
16;95760.525;1509.96;22069.026;66935.649;303.121;2087.41;996.89;
17;97101.166;1530.27;22069.026;68155.862;146.980;2186.40;1022.97;
18;97222.047;1540.66;41336.001;49227.816;354.180;2301.73;1031.32;
19;96702.768;1537.56;41336.001;48786.808;441.670;2215.87;1021.10;
20;95768.713;1536.29;41336.001;47899.547;474.207;2288.47;1020.86;
21;94425.130;1512.83;41336.001;46669.033;590.726;2198.45;1016.00;
22;92500.305;1300.96;10323.026;75189.655;44.700;1951.59;856.83;
23;90452.002;1141.73;10323.026;73135.696;48.482;1684.74;747.98;
