Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;87009.409;1075.74;8298.746;71696.267;103.349;1579.88;703.25;
1;85649.139;1019.90;8298.746;70368.152;180.544;1459.46;652.76;
2;84990.853;971.96;8298.746;69693.218;238.190;1343.55;612.66;
3;85127.207;982.40;8298.746;69772.697;179.307;1379.05;619.05;
4;86063.000;1057.62;8298.746;70680.102;104.948;1642.15;674.35;
5;87722.799;1100.96;8298.746;72429.242;186.629;1599.17;708.34;
6;90116.822;1220.20;22681.388;60446.183;182.711;1959.89;783.32;
7;93322.866;1473.68;22681.388;63488.261;151.923;1950.63;956.61;
8;96799.748;1566.64;19012.452;70787.387;291.284;2085.58;1063.71;
9;98456.848;1609.29;19012.452;72419.210;237.043;2236.67;1133.07;
10;98358.325;1599.82;19012.452;72260.458;217.815;2184.89;1149.28;
11;97820.917;1584.06;19012.452;71637.208;197.721;1960.34;1172.60;
12;97199.907;1555.57;19012.452;71018.807;182.988;1934.31;1138.54;
13;96861.729;1526.08;19012.452;70656.995;169.647;1976.15;1100.08;
14;96512.150;1525.57;19012.452;70313.116;182.785;1973.96;1109.07;
15;96162.264;1527.16;19012.452;69944.049;138.324;1970.29;1103.05;
16;95968.840;1530.62;19012.452;69757.809;92.893;1975.97;1106.63;
17;95919.357;1514.90;19012.452;69710.640;73.396;1959.18;1094.38;
18;97042.419;1526.57;19012.452;70885.326;68.971;2013.27;1088.43;
19;97876.172;1624.25;35885.078;54969.812;151.873;2355.70;1119.52;
20;96763.390;1577.62;35885.078;53915.515;205.101;2220.47;1113.06;
21;94743.773;1520.46;35885.078;52036.780;268.645;2213.38;1076.67;
22;91449.230;1331.29;35885.078;48912.832;459.616;2057.96;929.52;
23;89140.958;1133.99;8298.746;73760.088;57.831;1762.49;782.44;
