Час;Объем полного планового потребления, МВт.ч;Индекс равновесных цен на покупку электроэнергии, руб./МВт.ч.;Объем покупки по регулируемым договорам, МВт.ч;Объем покупки на РСВ, МВт.ч;Объем продажи в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;74423.602;1359.51;6340.406;62405.143;33.884;1687.37;1022.53;
1;72272.575;1009.17;6340.406;60309.942;126.388;1440.34;0.00;
2;70838.399;928.67;6340.406;58922.684;176.235;1307.49;0.00;
3;69799.734;854.30;6340.406;57928.868;219.835;1193.97;0.00;
4;69667.178;844.28;6340.406;57875.875;288.441;1155.73;0.00;
5;70656.323;871.86;6340.406;58865.550;290.961;1206.64;0.00;
6;72699.339;915.30;19302.818;47918.761;229.706;1270.39;0.00;
7;76023.385;1377.56;19302.818;51100.422;96.069;1717.42;901.46;
8;80268.712;1502.20;16577.379;58452.401;460.551;1912.57;966.16;
9;83212.512;1648.98;16577.379;61236.997;285.613;2128.03;955.64;
10;84592.053;1678.10;16577.379;62523.994;186.048;2215.44;938.30;
11;84951.921;1725.58;16577.379;62841.791;140.522;2368.18;932.79;
12;84731.491;1717.05;16577.379;62590.265;120.055;2362.00;939.13;
13;84563.978;1718.55;16577.379;62428.211;116.386;2372.35;975.03;
14;84224.529;1723.64;16577.379;62103.794;114.484;2362.73;1016.19;
15;83802.724;1721.76;16577.379;61695.921;121.904;2307.13;1045.43;
16;83552.825;1682.34;16577.379;61460.743;125.549;2140.39;1095.66;
17;82993.200;1614.54;16577.379;60980.989;156.297;2006.97;1114.83;
18;82276.620;1566.60;16577.379;60339.212;201.930;1942.40;1117.49;
19;81784.299;1535.07;16577.379;59820.351;174.502;1898.93;1126.86;
20;81865.793;1541.69;30759.230;45656.689;108.577;1881.00;1112.22;
21;81475.856;1547.07;30759.230;45363.048;189.989;1926.02;1154.76;
22;78793.978;1489.42;30759.230;42891.430;413.860;1839.16;1122.62;
23;76352.484;1361.14;30759.230;40959.126;959.831;1699.63;1038.30;
